-- Please Select --,-- Please Select --
Add New Class,Add New Class
Add New VAT Rate,Add New VAT Rate
Add New VAT Rule,Add New VAT Rule
Apply Discount On Prices Including VAT,Apply Discount On Prices Including VAT
Apply VAT After Discount,Apply VAT After Discount
Apply VAT On,Apply VAT On
Are you sure you want to do this?,Are you sure you want to do this?
Back,Back
CSV,CSV
Calculation,Calculation
Catalog prices include VAT,Catalog prices include VAT
Class Name,Class Name
Code,Code
Country,Country
Country/Region/Postal code combination,Country/Region/Postal code combination
County,County
Custom price if available,Custom price if available
Customer VAT Class,Customer VAT Class
Customer VAT Class Information,Customer VAT Class Information
Customer VAT Classes,Customer VAT Classes
Default Country,Default Country
Default Post Code,Default Post Code
Default State,Default State
Default VAT Origin Calculation,Default VAT Origin Calculation
Delete Class,Delete Class
Delete Rate,Delete Rate
Delete Rule,Delete Rule
Display,Display
Display Cart/Order Prices,Display Cart/Order Prices
Display Product Prices,Display Product Prices
Display Shipping Prices,Display Shipping Prices
Display Zero VAT Subtotal,Display Zero VAT Subtotal
Display full VAT summary,Display full VAT summary
Edit Class,Edit Class
Edit Class '%s',Edit Class '%s'
Edit Rule,Edit Rule
Edit VAT Rate,Edit VAT Rate
Error while deleting this class. Please try again later.,Error while deleting this class. Please try again later.
Error while deleting this rate. Incorrect rate ID,Error while deleting this rate. Incorrect rate ID
Error while deleting this rate. Please try again later.,Error while deleting this rate. Please try again later.
Error while deleting this VAT rule. Please try again later.,Error while deleting this VAT rule. Please try again later.
Error while saving this rate. Please try again later.,Error while saving this rate. Please try again later.
Error while saving this VAT class. Class with the same name ,Error while saving this VAT class. Class with the same name 
Error while saving this VAT class. Please try again later.,Error while saving this VAT class. Please try again later.
Error while saving this VAT rule. Please try again later.,Error while saving this VAT rule. Please try again later.
"Error while saving this VAT rule. This product VAT class, customer VAT class and VAT rate combination","Error while saving this VAT rule. This product VAT class, customer VAT class and VAT rate combination"
Excl. VAT,Excl. VAT
Excl. VAT:,Excl. VAT:
Excluding VAT,Excluding VAT
Export VAT Rates,Export VAT Rates
Ignored when 'Apply VAT After Discount' option is enabled,Ignored when 'Apply VAT After Discount' option is enabled
Import / Export VAT Rates,Import / Export VAT Rates
Import VAT Rates,Import VAT Rates
Inc. VAT,Inc. VAT
Incl. VAT,Incl. VAT
Incl. VAT:,Incl. VAT:
Including and excluding VAT,Including and excluding VAT
Including VAT,Including VAT
Incorrect rate Data,Incorrect rate Data
Invalid data for VAT rate calculation,Invalid data for VAT rate calculation
Invalid file format upload attempt,Invalid file format upload attempt
Invalid file upload attempt,Invalid file upload attempt
Manage Customer VAT Classes,Manage Customer VAT Classes
Manage Product VAT Classes,Manage Product VAT Classes
Manage VAT Rates,Manage VAT Rates
Manage VAT Rules,Manage VAT Rules
Manage VAT Zones & Rates,Manage VAT Zones & Rates
Name,Name
New Class,New Class
New Rule,New Rule
New VAT Rate,New VAT Rate
None,None
One of the country has invalid code.,One of the country has invalid code.
Original price only,Original price only
Please select Country,Please select Country
Please select County,Please select County
Please select State,Please select State
Priority,Priority
Product VAT Class,Product VAT Class
Product VAT Class Information,Product VAT Class Information
Product VAT Classes,Product VAT Classes
Rate,Rate
Reset,Reset
Sales,Sales
Save Class,Save Class
Save Rate,Save Rate
Save Rule,Save Rule
Shipping prices include VAT,Shipping prices include VAT
Sort Order,Sort Order
State,County/State
State/Region,County/State
VAT,VAT
VAT Based On,VAT Based On
VAT Class for Shipping,VAT Class for Shipping
VAT Classes,VAT Classes
VAT Identifier,VAT Identifier
VAT Rate,VAT Rate
VAT Rate Information,VAT Rate Information
VAT Rule Information,VAT Rule Information
VAT Rules,VAT Rules
VAT Section,VAT Section
VAT Titles,VAT Titles
VAT class was successfully deleted,VAT class was successfully deleted
VAT class was successfully saved,VAT class was successfully saved
VAT rate was successfully deleted,VAT rate was successfully deleted
VAT rate was successfully imported,VAT rate was successfully imported
VAT rate was successfully saved,VAT rate was successfully saved
"VAT rates at the same priority are added, others are compounded.","VAT rates at the same priority are added, others are compounded."
VAT rule was successfully deleted,VAT rule was successfully deleted
VAT rule was successfully saved,VAT rule was successfully saved
This class no longer exists,This class no longer exists
This rule no longer exists,This rule no longer exists
XML,XML
You cannot delete this VAT class as it is used for %d customer groups.,You cannot delete this VAT class as it is used for %d customer groups.
You cannot delete this VAT class as it is used for %d products.,You cannot delete this VAT class as it is used for %d products.
You cannot delete this VAT class as it is used in VAT Rules. You have to delete the rules it is used in first.,You cannot delete this VAT class as it is used in VAT Rules. You have to delete the rules it is used in first.
Zip/Post Code,Postcode/Zip
